Antibiotic,vtm_nm,vtm_id,vmp_nm,vmp_id,vmp_atc_route,atc_route,aware_2019,aware_2024
Clindamycin,Clindamycin,775288004,Clindamycin 60mg/5ml oral solution,18519211000001105,O,,Watch,Watch
Clindamycin,Clindamycin,775288004,Clindamycin 300mg capsules,21711211000001104,O,,Watch,Watch
Clindamycin,Clindamycin,775288004,Clindamycin 450mg/5ml oral solution,32748011000001108,O,,Watch,Watch
Clindamycin,Clindamycin,775288004,Clindamycin 150mg/5ml oral suspension,34376711000001103,O,,Watch,Watch
Clindamycin,Clindamycin,775288004,Clindamycin 200mg/5ml oral suspension,34818411000001104,O,,Watch,Watch
Clindamycin,Clindamycin,775288004,Clindamycin 50mg/5ml oral suspension,36458711000001104,O,,Watch,Watch
Clindamycin,Clindamycin,775288004,Clindamycin 100mg/5ml oral suspension,36458611000001108,O,,Watch,Watch
Clindamycin,Clindamycin + Hydrocortisone,22207511000001102,Clindamycin 2% / Hydrocortisone 1% in Aqueous cream,22213811000001108,,,Watch,Watch
Co-amoxiclav,Co-amoxiclav,774587000,Co-amoxiclav 2000mg/200mg powder for solution for infusion vials,41109011000001101,P,,Watch,Watch
Co-amoxiclav,Co-amoxiclav,774587000,Co-amoxiclav 1000mg/200mg/100ml infusion bags,23673611000001106,P,,Watch,Watch
